Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
664,Before Stonewall,"$18,724","$18,724",100%,-,-
665,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
666,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
667,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
668,Chained for Life,"$17,431","$17,431",100%,-,-
669,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
670,Virginia Minnesota,"$16,118","$16,118",100%,-,-
671,Starfish,"$15,849","$15,849",100%,-,-
672,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-
673,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-
674,Stuffed,"$15,532","$15,532",100%,-,-
675,Between the Lines,"$15,383","$15,383",100%,-,-
676,Funan,"$15,152","$15,152",100%,-,-
677,Wrinkles the Clown,"$14,938","$14,938",100%,-,-
678,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-
679,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-
680,Combat Obscura,"$14,242","$14,242",100%,-,-
681,Screwball,"$13,967","$13,967",100%,-,-
682,Genesis,"$13,856","$6,784",49%,"$7,072",51%
683,This One's for the Ladies,"$13,688","$13,688",100%,-,-
684,Rapid Response,"$13,294","$13,294",100%,-,-
685,Duet for Cannibals 2019 re-release,"$12,962","$12,962",100%,-,-
686,Off Season,"$12,544","$12,544",100%,-,-
687,Bricked,"$12,201","$12,201",100%,-,-
688,Zen for Nothing,"$12,107","$12,107",100%,-,-
689,Imprisoned,"$12,050","$12,050",100%,-,-
690,Quartet,"$12,042","$12,042",100%,-,-
691,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-
692,Hollywould,"$11,888","$11,888",100%,-,-
693,In Like Flynn,"$11,255","$11,255",100%,-,-
694,Made Me Do It,"$11,151","$11,151",100%,-,-
695,Suburban Birds,"$10,997","$10,997",100%,-,-
696,16 Bars,"$10,985","$10,985",100%,-,-
697,If the Dancer Dances,"$10,912","$10,912",100%,-,-
698,Vision Portraits,"$10,771","$10,771",100%,-,-
699,Intuitions,"$10,606","$10,606",100%,-,-
700,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%
701,Olivia,"$9,934","$9,934",100%,-,-
702,Streetwise,"$9,904","$9,904",100%,-,-
703,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-
704,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-
705,A Dark Place,"$9,212",-,-,"$9,212",100%
706,Cracked Up,"$9,197","$9,197",100%,-,-
707,The Hottest August,"$9,163","$9,163",100%,-,-
708,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-
709,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-
710,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-
711,Dosed,"$8,643",-,-,"$8,643",100%
712,The Dead Center,"$8,320","$8,320",100%,-,-
713,The Etruscan Smile 2019 release,"$8,213","$8,213",100%,-,-
714,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-
715,This Magnificent Cake!,"$7,888","$7,888",100%,-,-
716,Ghost Fleet,"$7,850","$7,850",100%,-,-
717,The Plagiarists,"$7,768","$7,768",100%,-,-
718,Gregory's Girl,"$7,710","$7,710",100%,-,-
719,I'll Take Your Dead,"$7,692","$7,692",100%,-,-
720,Beloved Beast,"$7,301","$7,301",100%,-,-
721,Going Attractions: The Definitive Story of the Movie Palace,"$6,763","$6,763",100%,-,-
722,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-
723,Spiral Farm,"$6,517","$6,517",100%,-,-
724,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-
725,To Be of Service,"$6,173","$6,173",100%,-,-
726,Relaxer,"$6,133","$6,133",100%,-,-
727,Blood Widow,"$6,047","$6,047",100%,-,-
728,Human Nature,"$5,834","$5,487",94.1%,$347,5.9%
729,Love Goes Public,"$5,700","$5,700",100%,-,-
730,Série noire,"$5,633","$5,633",100%,-,-
731,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-
732,Chokehold,"$5,200","$5,200",100%,-,-
733,The Gliksmans,"$5,166","$5,166",100%,-,-
734,100 Acres of Hell,"$5,152","$5,152",100%,-,-
735,Body at Brighton Rock,"$5,123","$5,123",100%,-,-
736,Chulas Fronteras,"$5,021","$5,021",100%,-,-
737,The Garden,"$5,006","$5,006",100%,-,-
738,Malek,"$4,898","$4,898",100%,-,-
739,Crepitus,"$4,846","$4,846",100%,-,-
740,Ballet Blanc,"$4,832","$4,832",100%,-,-
741,I'm Leaving Now,"$4,488","$4,488",100%,-,-
742,SGT. Will Gardner,"$4,405","$4,405",100%,-,-
743,Tito and the Birds,"$4,332","$4,332",100%,-,-
744,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-
745,State Like Sleep,"$4,282","$4,282",100%,-,-
746,Chinese Portrait,"$4,140","$4,140",100%,-,-
747,La Flor,"$4,032","$4,032",100%,-,-
748,Mother of a Day,"$3,919","$3,919",100%,-,-
749,Crown Vic,"$3,868","$3,868",100%,-,-
750,Wallflower,"$3,801","$3,801",100%,-,-
751,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-
752,Rottentail,"$3,383","$3,383",100%,-,-
753,Chasing Portraits,"$3,076","$3,076",100%,-,-
754,Back to the Fatherland,"$2,697","$2,697",100%,-,-
755,Division 19,"$2,680","$1,699",63.4%,$981,36.6%
756,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-
757,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-
758,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-
759,A German Youth,"$2,343","$2,343",100%,-,-
760,Serendipity,"$2,298","$2,298",100%,-,-
761,Jihadists,"$2,104","$2,104",100%,-,-
762,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%
763,Game Day,"$1,624","$1,624",100%,-,-
764,American Playhouse: The Killing Floor,"$1,583","$1,583",100%,-,-
765,The Hours and Times,"$1,273","$1,273",100%,-,-
766,The Wolf Hour,"$1,255",-,-,"$1,255",100%
767,A Fish in the Bathtub 2019 re-release,"$1,237","$1,237",100%,-,-
768,The Untold Story,$790,$790,100%,-,-
769,The Portal,$685,-,-,$685,100%
