Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
421,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%
422,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%
423,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%
424,Cunningham,"$320,293","$265,102",82.8%,"$55,191",17.2%
425,Meeting Gorbachev,"$319,230","$251,837",78.9%,"$67,393",21.1%
426,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-
427,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%
428,Josh Groban Bridges Live from Madison Square Garden,"$315,173","$315,173",100%,-,-
429,Beats,"$313,696",-,-,"$313,696",100%
430,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%
431,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%
432,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%
433,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%
434,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-
435,The Godfather: Part II 45th Anniversary,"$291,754","$291,754",100%,-,-
436,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%
437,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-
438,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-
439,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-
440,Octaman,"$280,710","$280,710",100%,-,-
441,Bolshoi Ballet: The Golden Age,"$277,666","$171,916",61.9%,"$105,750",38.1%
442,See You Soon,"$277,126",-,-,"$277,126",100%
443,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-
444,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%
445,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%
446,The Tale of The Princess Kaguya 2019 Re-release,"$271,681","$271,681",100%,-,-
447,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-
448,Out of Liberty,"$265,279","$265,279",100%,-,-
449,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%
450,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%
451,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-
452,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%
453,When Harry Met Sally... 30th Anniversary,"$252,320","$252,320",100%,-,-
